,NumPumps,AmtWon,NumExpl,NumTRs
sub001,5.33,46.0,8,239
sub002,6.17,39.75,15,281
sub003,5.36,42.0,10,232
sub004,5.75,42.5,12,270
sub005,5.72,44.0,11,271
sub006,5.78,43.25,12,250
sub007,5.61,43.0,11,242
sub009,5.61,35.5,15,263
sub010,5.53,37.25,14,264
sub011,5.81,42.0,13,262
sub012,4.78,44.75,6,210
sub013,5.47,39.0,13,243
sub014,5.81,41.5,13,266
sub016,5.92,41.25,13,264
sub017,5.11,48.0,5,250
sub018,6.0,43.5,13,252
sub020,5.72,39.0,14,259
sub021,4.89,42.0,8,228
sub023,5.58,39.0,14,273
sub024,5.72,37.0,15,267
sub025,4.69,45.5,5,216
sub026,5.25,46.5,7,223
sub028,5.14,46.25,7,228
sub029,5.86,45.5,11,268
